year,host,winner,runner_up,best_player,best_goalkeeper,top_scorer,top_scorer_goals,notes
1930,Uruguay,Uruguay,Argentina,Jose Nasazzi,Not officially awarded,Guillermo Stabile,8,Best player and goalkeeper awards were not official at early tournaments; historical best-player lists vary.
1934,Italy,Italy,Czechoslovakia,Giuseppe Meazza,Not officially awarded,Oldrich Nejedly,5,Golden Ball and Golden Glove were introduced later; early best-player data is retrospective.
1938,France,Italy,Hungary,Leonidas,Not officially awarded,Leonidas,7,Retrospective award records differ by source.
1950,Brazil,Uruguay,Brazil,Zizinho,Roque Maspoli,Ademir,9,No final match; winner decided by final group.
1954,Switzerland,West Germany,Hungary,Ferenc Puskas,Gyula Grosics,Sandor Kocsis,11,West Germany won their first title.
1958,Sweden,Brazil,Sweden,Didi,Harry Gregg,Just Fontaine,13,Fontaine's 13 goals remain a single-tournament record.
1962,Chile,Brazil,Czechoslovakia,Garrincha,Viliam Schrojf,Garrincha; Vava; Leonel Sanchez; Florian Albert; Valentin Ivanov; Drazen Jerkovic,4,Six players shared top scorer with four goals.
1966,England,England,West Germany,Bobby Charlton,Gordon Banks,Eusebio,9,England's only World Cup title.
1970,Mexico,Brazil,Italy,Pele,Ladislao Mazurkiewicz,Gerd Muller,10,Brazil won the Jules Rimet Trophy permanently.
1974,West Germany,West Germany,Netherlands,Johan Cruyff,Sepp Maier,Grzegorz Lato,7,Total football Netherlands lost to hosts West Germany.
1978,Argentina,Argentina,Netherlands,Mario Kempes,Ubaldo Fillol,Mario Kempes,6,Kempes was top scorer and standout player.
1982,Spain,Italy,West Germany,Paolo Rossi,Dino Zoff,Paolo Rossi,6,Golden Ball introduced officially in 1982.
1986,Mexico,Argentina,West Germany,Diego Maradona,Jean-Marie Pfaff,Gary Lineker,6,Maradona dominated the tournament.
1990,Italy,West Germany,Argentina,Salvatore Schillaci,Luis Gabelo Conejo,Salvatore Schillaci,6,Defensive tournament with low scoring.
1994,United States,Brazil,Italy,Romario,Michel Preud'homme,Hristo Stoichkov; Oleg Salenko,6,First final decided by penalties.
1998,France,France,Brazil,Ronaldo,Fabien Barthez,Davor Suker,6,France won first title at home.
2002,South Korea/Japan,Brazil,Germany,Oliver Kahn,Oliver Kahn,Ronaldo,8,Kahn is the only goalkeeper to win Golden Ball.
2006,Germany,Italy,France,Zinedine Zidane,Gianluigi Buffon,Miroslav Klose,5,Italy won on penalties.
2010,South Africa,Spain,Netherlands,Diego Forlan,Iker Casillas,Thomas Muller; David Villa; Wesley Sneijder; Diego Forlan,5,Spain won first World Cup.
2014,Brazil,Germany,Argentina,Lionel Messi,Manuel Neuer,James Rodriguez,6,Germany beat Brazil 7-1 in the semi-final.
2018,Russia,France,Croatia,Luka Modric,Thibaut Courtois,Harry Kane,6,France won second title.
2022,Qatar,Argentina,France,Lionel Messi,Emiliano Martinez,Kylian Mbappe,8,Argentina won on penalties after 3-3 final.
